Población,5,Elementos,40,P.Mutación,0.02,P.Cruzamiento,0.59,Iteraciones,15,Semilla,15
Generación,Tubo,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,large,fit
3,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.92307,907.672
3,(+)ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,0.527726,388.37
4,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.03801,709.943
4,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.861518,627.129
4,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.52771,846.379
4,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216029,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206923,0.111485,0.741177,439.335
4,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216029,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206923,0.111485,0.962152,567.364
4,(+)ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,0.527726,388.37
5,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216029,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206923,0.111485,1.64849,795.211
5,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.137502,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.14341,747.884
5,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.137502,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.720992,538.342
5,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.137502,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.711279,530.74
5,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.137502,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.968157,679.386
5,(+)ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,0.527726,388.37
6,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216029,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206923,0.111485,1.54462,772.93
6,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.46787,834.048
6,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.46445,834.048
6,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.07104,722.919
6,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.01082,698.634
6,(+)ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,0.527726,388.37
7,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.03216,707.431
7,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.50878,843.359
7,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.558624,411.9
7,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.7984,891.339
7,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216029,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0794059,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206923,0.111485,0.679641,404.58
7,(+)ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,0.527726,388.37
8,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216029,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0794059,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206923,0.111485,1.08518,625.331
8,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131235,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.200004,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.69451,876.156
8,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131235,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.200004,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.602047,447.207
8,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131235,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.200004,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.10695,736.111
8,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131235,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.200004,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.47864,836.982
8,(+)ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,0.527726,388.37
9,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131235,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0124691,0.0135926,0.0543046,0.200004,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.80676,595.632
9,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216029,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0794059,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233148,0.2037,0.0460853,0.103029,0.206923,0.111485,0.720152,426.692
9,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131235,0.202311,0.208638,0.0430105,0.178185,0.137502,0.103118,0.222297,0.175997,0.0124691,0.0135926,0.0543046,0.200004,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.102053,0.0555463,0.0760945,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.60076,860.017
