Población,5,Elementos,40,P.Mutación,0.02,P.Cruzamiento,0.59,Iteraciones,15,Semilla,15
Generación,Tubo,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,large,fit
2,ZWheAuNyDa,0.100693,0.116097,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216384,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206568,0.111485,1.43564,744.807
2,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.33528,803.295
2,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.588819,434.257
2,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.776914,574.764
2,ZWheAuNyDa,0.158878,0.123488,0.0258328,0.162367,0.109297,0.0704179,0.207721,0.216502,0.247605,0.0447549,0.0746162,0.160475,0.176441,0.172508,0.0609273,0.183122,0.12544,0.0265128,0.0991853,0.183211,0.00883252,0.214817,0.114382,0.0266606,0.160002,0.083752,0.0253302,0.170232,0.0815642,0.137946,0.0642387,0.10906,0.0174657,0.227294,0.14244,0.168931,0.0671361,0.0177614,0.0602473,0.0839885,1.59063,898.691
2,(+)ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,0.527726,388.37
3,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216384,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206568,0.111485,0.876108,520.097
3,ZWheAuNyDa,0.100693,0.118699,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216384,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206568,0.111485,0.741458,439.2
3,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,1.19061,763.407
3,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0555463,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.153231,0.187232,0.160416,0.570769,421.628
